STT	Anotation
1	@Configuration
2	@Bean
3	@Scope
4	@Autowired
5	@Required
6	@Component
7	@ComponentScan
8	@PreDestroy
9	@PostConstruct
10	@PropertySources
11	@PropertySource
12	@Repository
13	@Service
14	@Qualifier
15	@Lazy
16	@Transactional
17	@SpringBootApplication
18	@EnableAutoConfiguration
19	@EnableWebSecurity
20	@EnableConfigServer
21	@EnableEurekaServer
22	@EnableDiscoveryClient
23	@EnableCircuitBreaker
24	@HystrixCommand
25	@SessionAttribute/ SessionAttributes
26	@ControllerAdvice
27	@ResponseStatus
28	@RequestPart
29	@RequestAttribute
30	@Mappings/@Mapping
31	@ModelAttribute
32	@RequestBody
33	@PathVariable
34	@RequestParam
35	@RequestMapping
36	@Controller
37	@RestController
38	@CrossOrigin
39	@Value
40	@ResponseHeader
41	@RequestHeader
42	@InitBinder
43	@ RequestAttribute
44	@MatrixVariable
45	@CookeValue
46	@ExceptionHandle
47	@ResponseBody
48	@Valid
